location,time,ppi_dom_con,date
BEL,2010-11,94.3,Nov 2010
BEL,2010-12,94.6,Dec 2010
BEL,2011-01,95.6,Jan 2011
BEL,2011-02,96.1,Feb 2011
BEL,2011-03,96.1,Mar 2011
BEL,2011-04,96.7,Apr 2011
BEL,2011-05,96.9,May 2011
BEL,2011-06,96.8,Jun 2011
BEL,2011-07,96.6,Jul 2011
BEL,2011-08,96.6,Aug 2011
BEL,2011-09,96.5,Sep 2011
BEL,2011-10,96.3,Oct 2011
BEL,2011-11,96.4,Nov 2011
BEL,2011-12,96.5,Dec 2011
BEL,2012-01,97.5,Jan 2012
BEL,2012-02,98.8,Feb 2012
BEL,2012-03,99.4,Mar 2012
BEL,2012-04,99.7,Apr 2012
BEL,2012-05,99.4,May 2012
BEL,2012-06,99.6,Jun 2012
BEL,2012-07,99.1,Jul 2012
BEL,2012-08,99.3,Aug 2012
BEL,2012-09,99.6,Sep 2012
BEL,2012-10,100,Oct 2012
BEL,2012-11,100.1,Nov 2012
BEL,2012-12,100.1,Dec 2012
BEL,2013-01,100.8,Jan 2013
BEL,2013-02,101.1,Feb 2013
BEL,2013-03,101.3,Mar 2013
BEL,2013-04,101.5,Apr 2013
BEL,2013-05,102.4,May 2013
BEL,2013-06,102.7,Jun 2013
BEL,2013-07,103,Jul 2013
BEL,2013-08,103.2,Aug 2013
BEL,2013-09,103.3,Sep 2013
BEL,2013-10,103.4,Oct 2013
BEL,2013-11,103.6,Nov 2013
BEL,2013-12,103.6,Dec 2013
BEL,2014-01,103.3,Jan 2014
BEL,2014-02,102.8,Feb 2014
BEL,2014-03,103.1,Mar 2014
BEL,2014-04,103.1,Apr 2014
BEL,2014-05,103,May 2014
BEL,2014-06,103.1,Jun 2014
BEL,2014-07,102.9,Jul 2014
BEL,2014-08,102.5,Aug 2014
BEL,2014-09,102,Sep 2014
BEL,2014-10,101.7,Oct 2014
BEL,2014-11,101.3,Nov 2014
BEL,2014-12,101.9,Dec 2014
BEL,2015-01,102.1,Jan 2015
BEL,2015-02,100.9,Feb 2015
BEL,2015-03,100.8,Mar 2015
BEL,2015-04,100.8,Apr 2015
BEL,2015-05,100.3,May 2015
BEL,2015-06,99.2,Jun 2015
BEL,2015-07,99.4,Jul 2015
BEL,2015-08,99.4,Aug 2015
BEL,2015-09,99.2,Sep 2015
BEL,2015-10,99.2,Oct 2015
BEL,2015-11,99.2,Nov 2015
BEL,2015-12,99.6,Dec 2015
BEL,2016-01,99.7,Jan 2016
BEL,2016-02,99.3,Feb 2016
BEL,2016-03,99.9,Mar 2016
BEL,2016-04,99.6,Apr 2016
BEL,2016-05,99.4,May 2016
BEL,2016-06,99.5,Jun 2016
BEL,2016-07,99.7,Jul 2016
BEL,2016-08,100.2,Aug 2016
BEL,2016-09,100.6,Sep 2016
BEL,2016-10,101.2,Oct 2016
BEL,2016-11,101.4,Nov 2016
BEL,2016-12,102.5,Dec 2016
BEL,2017-01,103,Jan 2017
BEL,2017-02,103.7,Feb 2017
BEL,2017-03,103.7,Mar 2017
BEL,2017-04,104.5,Apr 2017
BEL,2017-05,104.7,May 2017
BEL,2017-06,105.4,Jun 2017
BEL,2017-07,105.8,Jul 2017
BEL,2017-08,106.2,Aug 2017
BEL,2017-09,106.4,Sep 2017
BEL,2017-10,106.6,Oct 2017
BEL,2017-11,106.6,Nov 2017
BEL,2017-12,106.7,Dec 2017
BEL,2018-01,105.9,Jan 2018
BEL,2018-02,106,Feb 2018
BEL,2018-03,106.3,Mar 2018
BEL,2018-04,106.3,Apr 2018
BEL,2018-05,106.7,May 2018
BEL,2018-06,106.7,Jun 2018
BEL,2018-07,106.6,Jul 2018
BEL,2018-08,106.4,Aug 2018
BEL,2018-09,106.9,Sep 2018
BEL,2018-10,107,Oct 2018
BEL,2018-11,106.9,Nov 2018
BEL,2018-12,107.3,Dec 2018
BEL,2019-01,107.7,Jan 2019
BEL,2019-02,108.2,Feb 2019
BEL,2019-03,108.2,Mar 2019
BEL,2019-04,108.8,Apr 2019
BEL,2019-05,108.7,May 2019
BEL,2019-06,108.7,Jun 2019
BEL,2019-07,108.6,Jul 2019
BEL,2019-08,108.2,Aug 2019
BEL,2019-09,108.9,Sep 2019
BEL,2019-10,109.3,Oct 2019
BEL,2019-11,109.6,Nov 2019
BEL,2019-12,110,Dec 2019
BEL,2020-01,110.4,Jan 2020
BEL,2020-02,110.7,Feb 2020
BEL,2020-03,110.1,Mar 2020
BEL,2020-04,110.1,Apr 2020
BEL,2020-05,109.7,May 2020
BEL,2020-06,109.7,Jun 2020
BEL,2020-07,109.6,Jul 2020
BEL,2020-08,109.6,Aug 2020
BEL,2020-09,109.9,Sep 2020
BEL,2020-10,109.4,Oct 2020
BEL,2020-11,109.5,Nov 2020
BEL,2020-12,109.3,Dec 2020
BEL,2021-01,109.3,Jan 2021
BEL,2021-02,109.8,Feb 2021
BEL,2021-03,111,Mar 2021
BEL,2021-04,111.4,Apr 2021
BEL,2021-05,111.7,May 2021
BEL,2021-06,113.1,Jun 2021
BEL,2021-07,113.5,Jul 2021
BEL,2021-08,114.1,Aug 2021
BEL,2021-09,114.8,Sep 2021
BEL,2021-10,115.5,Oct 2021
BEL,2021-11,116.7,Nov 2021
BEL,2021-12,118.6,Dec 2021
BEL,2022-01,121.2,Jan 2022
BEL,2022-02,122.7,Feb 2022
BEL,2022-03,124.7,Mar 2022
BEL,2022-04,127,Apr 2022
BEL,2022-05,128.4,May 2022
BEL,2022-06,130.5,Jun 2022
BEL,2022-07,131.8,Jul 2022
BEL,2022-08,133,Aug 2022
BEL,2022-09,133.4,Sep 2022
BEL,2022-10,134.5,Oct 2022
BEL,2022-11,135.4,Nov 2022
BEL,2022-12,137.1,Dec 2022
CZE,1995-01,66.81231,Jan 1995
CZE,1995-02,66.72923,Feb 1995
CZE,1995-03,66.56308,Mar 1995
CZE,1995-04,66.97846,Apr 1995
CZE,1995-05,67.06154,May 1995
CZE,1995-06,67.22769,Jun 1995
CZE,1995-07,67.90154,Jul 1995
CZE,1995-08,68.15077,Aug 1995
