location,time,ppi_tot_manufact,date
GRC,2016-06,96.2,Jun 2016
GRC,2016-07,94.6,Jul 2016
GRC,2016-08,94.7,Aug 2016
GRC,2016-09,95.3,Sep 2016
GRC,2016-10,97.7,Oct 2016
GRC,2016-11,96.5,Nov 2016
GRC,2016-12,100.4,Dec 2016
GRC,2017-01,101.4,Jan 2017
GRC,2017-02,101.8,Feb 2017
GRC,2017-03,99.9,Mar 2017
GRC,2017-04,100.7,Apr 2017
GRC,2017-05,98.6,May 2017
GRC,2017-06,96.7,Jun 2017
GRC,2017-07,97.4,Jul 2017
GRC,2017-08,98.5,Aug 2017
GRC,2017-09,100,Sep 2017
GRC,2017-10,100.5,Oct 2017
GRC,2017-11,102.2,Nov 2017
GRC,2017-12,102.2,Dec 2017
GRC,2018-01,103.2,Jan 2018
GRC,2018-02,101.5,Feb 2018
GRC,2018-03,101.9,Mar 2018
GRC,2018-04,104.1,Apr 2018
GRC,2018-05,107.6,May 2018
GRC,2018-06,107.2,Jun 2018
GRC,2018-07,107.4,Jul 2018
GRC,2018-08,107.6,Aug 2018
GRC,2018-09,108.5,Sep 2018
GRC,2018-10,110.1,Oct 2018
GRC,2018-11,105.5,Nov 2018
GRC,2018-12,101.5,Dec 2018
GRC,2019-01,102.1,Jan 2019
GRC,2019-02,104.5,Feb 2019
GRC,2019-03,105.9,Mar 2019
GRC,2019-04,107.4,Apr 2019
GRC,2019-05,107.2,May 2019
GRC,2019-06,104.1,Jun 2019
GRC,2019-07,105.7,Jul 2019
GRC,2019-08,103.6,Aug 2019
GRC,2019-09,105,Sep 2019
GRC,2019-10,104.7,Oct 2019
GRC,2019-11,105,Nov 2019
GRC,2019-12,106,Dec 2019
GRC,2020-01,105.3,Jan 2020
GRC,2020-02,102.2,Feb 2020
GRC,2020-03,92,Mar 2020
GRC,2020-04,86.5,Apr 2020
GRC,2020-05,88.9,May 2020
GRC,2020-06,92.6,Jun 2020
GRC,2020-07,93.9,Jul 2020
GRC,2020-08,93.5,Aug 2020
GRC,2020-09,92,Sep 2020
GRC,2020-10,92.5,Oct 2020
GRC,2020-11,93.3,Nov 2020
GRC,2020-12,95.7,Dec 2020
GRC,2021-01,97.9,Jan 2021
GRC,2021-02,101.1,Feb 2021
GRC,2021-03,102.7,Mar 2021
GRC,2021-04,102.9,Apr 2021
GRC,2021-05,104.3,May 2021
GRC,2021-06,106.4,Jun 2021
GRC,2021-07,108.1,Jul 2021
GRC,2021-08,107.6,Aug 2021
GRC,2021-09,110.1,Sep 2021
GRC,2021-10,115.1,Oct 2021
GRC,2021-11,114.3,Nov 2021
GRC,2021-12,113,Dec 2021
GRC,2022-01,118.4,Jan 2022
GRC,2022-02,123.2,Feb 2022
GRC,2022-03,138.3,Mar 2022
GRC,2022-04,140.2,Apr 2022
GRC,2022-05,145.1,May 2022
GRC,2022-06,153.2,Jun 2022
GRC,2022-07,145.8,Jul 2022
GRC,2022-08,141.9,Aug 2022
GRC,2022-09,140.1,Sep 2022
GRC,2022-10,145.1,Oct 2022
GRC,2022-11,139.8,Nov 2022
GRC,2022-12,131.4,Dec 2022
HUN,1995-01,33.67958,Jan 1995
HUN,1995-02,34.42234,Feb 1995
HUN,1995-03,35.58291,Mar 1995
HUN,1995-04,36.85953,Apr 1995
HUN,1995-05,37.69514,May 1995
HUN,1995-06,38.06652,Jun 1995
HUN,1995-07,38.46111,Jul 1995
HUN,1995-08,38.99497,Aug 1995
HUN,1995-09,39.45919,Sep 1995
HUN,1995-10,40.17875,Oct 1995
HUN,1995-11,40.64297,Nov 1995
HUN,1995-12,40.94472,Dec 1995
HUN,1996-01,42.9641,Jan 1996
HUN,1996-02,43.45154,Feb 1996
HUN,1996-03,44.05503,Mar 1996
HUN,1996-04,44.89064,Apr 1996
HUN,1996-05,45.6334,May 1996
HUN,1996-06,45.88873,Jun 1996
HUN,1996-07,45.95836,Jul 1996
HUN,1996-08,46.70112,Aug 1996
HUN,1996-09,47.39746,Sep 1996
HUN,1996-10,48.25628,Oct 1996
HUN,1996-11,48.76692,Nov 1996
HUN,1996-12,49.30079,Dec 1996
HUN,1997-01,52.20219,Jan 1997
HUN,1997-02,52.75927,Feb 1997
HUN,1997-03,53.78056,Mar 1997
HUN,1997-04,54.29121,Apr 1997
HUN,1997-05,54.70901,May 1997
HUN,1997-06,55.17324,Jun 1997
HUN,1997-07,55.4982,Jul 1997
HUN,1997-08,55.79995,Aug 1997
HUN,1997-09,56.51949,Sep 1997
HUN,1997-10,57.28547,Oct 1997
HUN,1997-11,57.65685,Nov 1997
HUN,1997-12,58.09786,Dec 1997
HUN,1998-01,60.11724,Jan 1998
HUN,1998-02,60.4042,Feb 1998
HUN,1998-03,60.33246,Mar 1998
HUN,1998-04,60.4042,Apr 1998
