iso,date,Storm
BGD,Mar 2008,1
BGD,Oct 2008,1
BGD,Apr 2009,1
BGD,May 2009,1
BGD,Apr 2010,1
BGD,May 2010,1
BGD,Apr 2011,1
BGD,Apr 2012,1
BGD,Oct 2012,1
BGD,Mar 2013,1
BGD,May 2013,1
BGD,Apr 2014,1
BGD,Jun 2014,1
BGD,Apr 2015,1
BGD,May 2015,1
BGD,Jul 2015,1
BGD,May 2016,1
BGD,May 2017,1
BGD,Apr 2018,1
BGD,Mar 2019,1
BGD,May 2019,1
BGD,Nov 2019,1
BGD,May 2020,1
BGD,May 2021,1
BGD,Oct 2022,1
BGD,Apr 2023,1
BGD,May 2023,1
BGR,Nov 1981,1
BGR,Mar 1993,1
BGR,May 1999,1
BGR,Dec 2001,1
BGR,Jan 2005,1
BGR,Jul 2014,1
BHS,Jul 1926,1
BHS,Sep 1929,1
BHS,Sep 1935,1
BHS,Sep 1945,1
BHS,Oct 1963,1
BHS,Sep 1965,1
BHS,Sep 1966,1
BHS,Oct 1966,1
BHS,Jul 1990,1
BHS,Aug 1992,1
BHS,Jul 1995,1
BHS,Sep 1999,1
BHS,Nov 2001,1
BHS,Aug 2004,1
BHS,Sep 2004,1
BHS,Oct 2005,1
BHS,Oct 2007,1
BHS,Aug 2008,1
BHS,Sep 2008,1
BHS,Aug 2011,1
BHS,Oct 2012,1
BHS,Oct 2015,1
BHS,Sep 2016,1
BHS,Sep 2017,1
BHS,Sep 2019,1
BIH,Dec 1999,1
BIH,Feb 2005,1
BIH,Jul 2023,1
BLM,Sep 2017,1
BLR,Jun 1997,1
BLR,Jan 2007,1
BLZ,Sep 1931,1
BLZ,Sep 1955,1
BLZ,Oct 1961,1
BLZ,Sep 1974,1
BLZ,Sep 1978,1
BLZ,Oct 1998,1
BLZ,Sep 2000,1
BLZ,Aug 2001,1
BLZ,Oct 2001,1
BLZ,Oct 2005,1
BLZ,Nov 2005,1
BLZ,Aug 2007,1
BLZ,May 2008,1
BLZ,Sep 2010,1
BLZ,Aug 2016,1
BLZ,Nov 2020,1
BLZ,Nov 2022,1
BMU,Oct 1948,1
BMU,Jan 1985,1
BMU,Jan 1986,1
BMU,Sep 1987,1
BMU,Aug 1989,1
BMU,Sep 2003,1
BOL,Jun 2002,1
BOL,Nov 2008,1
BRA,May 1949,1
BRA,Aug 1959,1
BRA,Jan 1966,1
BRA,Jun 1977,1
BRA,Jun 1980,1
BRA,Jun 1982,1
BRA,Oct 1984,1
BRA,Sep 1985,1
BRA,Jul 1989,1
BRA,May 1994,1
BRA,Jun 1997,1
BRA,Sep 2001,1
BRA,Mar 2004,1
BRA,Jan 2005,1
BRA,May 2008,1
BRA,Sep 2009,1
BRA,Sep 2013,1
BRA,Apr 2015,1
BRA,Jun 2020,1
BRA,Apr 2023,1
BRA,Sep 2023,1
BRB,Sep 1955,1
BRB,Jul 1980,1
BRB,Sep 1995,1
BRB,Sep 2002,1
BRB,Sep 2004,1
BRB,Oct 2010,1
BRB,Sep 2017,1
BRB,Jul 2021,1
BRB,Jun 2023,1
BTN,May 1994,1
BTN,May 2009,1
BWA,Dec 2009,1
CAF,Nov 1981,1
CAF,Mar 2001,1
CAF,Jan 2009,1
CAF,Mar 2009,1
CAF,Jun 2011,1
CAF,Feb 2012,1
CAF,May 2012,1
CAF,Mar 2013,1
CAF,Apr 2015,1
CAF,Jan 2017,1
CAN,Jun 1912,1
CAN,Jun 1946,1
CAN,Nov 1950,1
CAN,Oct 1954,1
CAN,Feb 1959,1
CAN,Oct 1962,1
CAN,Mar 1966,1
CAN,Aug 1970,1
CAN,Mar 1971,1
CAN,Mar 1975,1
CAN,Jul 1975,1
CAN,Jan 1977,1
CAN,Jul 1981,1
CAN,May 1985,1
CAN,May 1986,1
CAN,Jul 1987,1
CAN,Sep 1989,1
CAN,Sep 1991,1
CAN,Aug 1994,1
CAN,Sep 1995,1
CAN,Sep 1996,1
CAN,Apr 1997,1
CAN,Jan 1998,1
CAN,Jan 1999,1
CAN,Jul 1999,1
CAN,Jul 2000,1
CAN,Feb 2001,1
CAN,Sep 2003,1
CAN,Jan 2004,1
CAN,Feb 2004,1
CAN,Sep 2005,1
CAN,Feb 2007,1
CAN,Dec 2007,1
CAN,Aug 2009,1
CAN,Dec 2010,1
CAN,Aug 2011,1
CAN,Aug 2012,1
CAN,Dec 2012,1
CAN,Jul 2013,1
CAN,Sep 2018,1
CAN,Oct 2019,1
CAN,Jun 2020,1
CAN,Jun 2021,1
CAN,Apr 2022,1
CAN,May 2022,1
CAN,Sep 2022,1
CAN,Dec 2022,1
CHE,Jan 1976,1
CHE,Jul 1982,1
CHE,Jan 1983,1
CHE,Aug 1983,1
CHE,Jul 1984,1
CHE,Aug 1985,1
CHE,Aug 1986,1
CHE,Oct 1986,1
CHE,Jul 1987,1
CHE,Feb 1990,1
CHE,Jul 1990,1
CHE,May 1993,1
CHE,Jul 1993,1
CHE,Sep 1993,1
CHE,Jan 1994,1
CHE,Jan 1998,1
CHE,Dec 1999,1
CHE,Oct 2002,1
CHE,Jan 2003,1
