location,time,ppi_tot_int,date
SVK,2010-02,95.9,Feb 2010
SVK,2010-03,96.6,Mar 2010
SVK,2010-04,97.4,Apr 2010
SVK,2010-05,99.1,May 2010
SVK,2010-06,100.1,Jun 2010
SVK,2010-07,101.1,Jul 2010
SVK,2010-08,101.4,Aug 2010
SVK,2010-09,101.8,Sep 2010
SVK,2010-10,102,Oct 2010
SVK,2010-11,101.6,Nov 2010
SVK,2010-12,101.5,Dec 2010
SVK,2011-01,102.3,Jan 2011
SVK,2011-02,104.2,Feb 2011
SVK,2011-03,104.7,Mar 2011
SVK,2011-04,105.8,Apr 2011
SVK,2011-05,106,May 2011
SVK,2011-06,105.9,Jun 2011
SVK,2011-07,105.4,Jul 2011
SVK,2011-08,105.7,Aug 2011
SVK,2011-09,105.4,Sep 2011
SVK,2011-10,105.2,Oct 2011
SVK,2011-11,104.7,Nov 2011
SVK,2011-12,103.8,Dec 2011
SVK,2012-01,103.3,Jan 2012
SVK,2012-02,104.6,Feb 2012
SVK,2012-03,105.1,Mar 2012
SVK,2012-04,105.6,Apr 2012
SVK,2012-05,106,May 2012
SVK,2012-06,105.6,Jun 2012
SVK,2012-07,104.8,Jul 2012
SVK,2012-08,105.2,Aug 2012
SVK,2012-09,105.7,Sep 2012
SVK,2012-10,105.5,Oct 2012
SVK,2012-11,104.4,Nov 2012
SVK,2012-12,104.2,Dec 2012
SVK,2013-01,104.4,Jan 2013
SVK,2013-02,103.8,Feb 2013
SVK,2013-03,104.1,Mar 2013
SVK,2013-04,104,Apr 2013
SVK,2013-05,103.8,May 2013
SVK,2013-06,103.6,Jun 2013
SVK,2013-07,103.1,Jul 2013
SVK,2013-08,102.7,Aug 2013
SVK,2013-09,102.8,Sep 2013
SVK,2013-10,102.6,Oct 2013
SVK,2013-11,102.2,Nov 2013
SVK,2013-12,101.9,Dec 2013
SVK,2014-01,101.8,Jan 2014
SVK,2014-02,101.5,Feb 2014
SVK,2014-03,101.3,Mar 2014
SVK,2014-04,101.4,Apr 2014
SVK,2014-05,101.6,May 2014
SVK,2014-06,101.5,Jun 2014
SVK,2014-07,101.6,Jul 2014
SVK,2014-08,101.4,Aug 2014
SVK,2014-09,101.3,Sep 2014
SVK,2014-10,101.4,Oct 2014
SVK,2014-11,101.1,Nov 2014
SVK,2014-12,100.6,Dec 2014
SVK,2015-01,100.6,Jan 2015
SVK,2015-02,99.7,Feb 2015
SVK,2015-03,100.2,Mar 2015
SVK,2015-04,100.9,Apr 2015
SVK,2015-05,101,May 2015
SVK,2015-06,101.2,Jun 2015
SVK,2015-07,100.7,Jul 2015
SVK,2015-08,100.1,Aug 2015
SVK,2015-09,99.7,Sep 2015
