location,time,ppi_tot_manufact_food,date
DNK,2011-08,99,Aug 2011
DNK,2011-09,99.7,Sep 2011
DNK,2011-10,99.3,Oct 2011
DNK,2011-11,99.1,Nov 2011
DNK,2011-12,99.7,Dec 2011
DNK,2012-01,99.2,Jan 2012
DNK,2012-02,98.8,Feb 2012
DNK,2012-03,98.8,Mar 2012
DNK,2012-04,100.3,Apr 2012
DNK,2012-05,100.4,May 2012
DNK,2012-06,101.1,Jun 2012
DNK,2012-07,101.5,Jul 2012
DNK,2012-08,102.3,Aug 2012
DNK,2012-09,103.6,Sep 2012
DNK,2012-10,104.4,Oct 2012
DNK,2012-11,104.5,Nov 2012
DNK,2012-12,104.4,Dec 2012
DNK,2013-01,104,Jan 2013
DNK,2013-02,103.2,Feb 2013
DNK,2013-03,103.2,Mar 2013
DNK,2013-04,103.8,Apr 2013
DNK,2013-05,104.4,May 2013
DNK,2013-06,104.6,Jun 2013
DNK,2013-07,103.5,Jul 2013
DNK,2013-08,104.4,Aug 2013
DNK,2013-09,104.3,Sep 2013
DNK,2013-10,104.4,Oct 2013
DNK,2013-11,104.2,Nov 2013
DNK,2013-12,103.9,Dec 2013
DNK,2014-01,102.6,Jan 2014
DNK,2014-02,101.8,Feb 2014
DNK,2014-03,102.6,Mar 2014
DNK,2014-04,102.6,Apr 2014
DNK,2014-05,102.2,May 2014
DNK,2014-06,102,Jun 2014
DNK,2014-07,102.6,Jul 2014
DNK,2014-08,101.2,Aug 2014
DNK,2014-09,100.9,Sep 2014
DNK,2014-10,99.5,Oct 2014
DNK,2014-11,99.4,Nov 2014
DNK,2014-12,99.8,Dec 2014
DNK,2015-01,99,Jan 2015
DNK,2015-02,99.8,Feb 2015
DNK,2015-03,100.4,Mar 2015
DNK,2015-04,100.9,Apr 2015
DNK,2015-05,101.1,May 2015
DNK,2015-06,100.7,Jun 2015
DNK,2015-07,99.8,Jul 2015
DNK,2015-08,99.9,Aug 2015
DNK,2015-09,99.7,Sep 2015
DNK,2015-10,99.7,Oct 2015
DNK,2015-11,99.1,Nov 2015
DNK,2015-12,99.8,Dec 2015
DNK,2016-01,99.8,Jan 2016
DNK,2016-02,99.6,Feb 2016
DNK,2016-03,99.8,Mar 2016
DNK,2016-04,99,Apr 2016
DNK,2016-05,99.7,May 2016
DNK,2016-06,100.3,Jun 2016
DNK,2016-07,100.3,Jul 2016
DNK,2016-08,100.3,Aug 2016
DNK,2016-09,101.4,Sep 2016
DNK,2016-10,101,Oct 2016
DNK,2016-11,101.2,Nov 2016
DNK,2016-12,101.8,Dec 2016
DNK,2017-01,101.8,Jan 2017
DNK,2017-02,101.6,Feb 2017
DNK,2017-03,101.6,Mar 2017
DNK,2017-04,102.3,Apr 2017
DNK,2017-05,102.1,May 2017
DNK,2017-06,101.9,Jun 2017
DNK,2017-07,101.9,Jul 2017
DNK,2017-08,102.2,Aug 2017
DNK,2017-09,102.4,Sep 2017
DNK,2017-10,102,Oct 2017
DNK,2017-11,101.1,Nov 2017
DNK,2017-12,100.9,Dec 2017
DNK,2018-01,101,Jan 2018
DNK,2018-02,100.5,Feb 2018
DNK,2018-03,100.7,Mar 2018
DNK,2018-04,100.4,Apr 2018
DNK,2018-05,100.7,May 2018
DNK,2018-06,100.9,Jun 2018
DNK,2018-07,100.7,Jul 2018
DNK,2018-08,100.7,Aug 2018
DNK,2018-09,101.1,Sep 2018
DNK,2018-10,100.8,Oct 2018
DNK,2018-11,100.7,Nov 2018
DNK,2018-12,101.1,Dec 2018
DNK,2019-01,101,Jan 2019
DNK,2019-02,101.5,Feb 2019
DNK,2019-03,101.6,Mar 2019
DNK,2019-04,103.5,Apr 2019
FIN,1995-01,80.3,Jan 1995
FIN,1995-02,78,Feb 1995
FIN,1995-03,77.4,Mar 1995
FIN,1995-04,77.4,Apr 1995
FIN,1995-05,77.1,May 1995
FIN,1995-06,77,Jun 1995
FIN,1995-07,76.7,Jul 1995
FIN,1995-08,76.7,Aug 1995
FIN,1995-09,77.1,Sep 1995
FIN,1995-10,77.1,Oct 1995
FIN,1995-11,76.2,Nov 1995
FIN,1995-12,76.4,Dec 1995
FIN,1996-01,76.7,Jan 1996
FIN,1996-02,76.8,Feb 1996
FIN,1996-03,76.5,Mar 1996
FIN,1996-04,76.7,Apr 1996
FIN,1996-05,76.6,May 1996
FIN,1996-06,76.6,Jun 1996
FIN,1996-07,76.7,Jul 1996
FIN,1996-08,77.2,Aug 1996
FIN,1996-09,77.2,Sep 1996
FIN,1996-10,77.2,Oct 1996
FIN,1996-11,77.2,Nov 1996
FIN,1996-12,77.3,Dec 1996
FIN,1997-01,77.5,Jan 1997
FIN,1997-02,77.5,Feb 1997
FIN,1997-03,77.5,Mar 1997
FIN,1997-04,77.9,Apr 1997
FIN,1997-05,77.9,May 1997
FIN,1997-06,78.1,Jun 1997
FIN,1997-07,78.2,Jul 1997
FIN,1997-08,78.7,Aug 1997
FIN,1997-09,79.5,Sep 1997
FIN,1997-10,79.6,Oct 1997
FIN,1997-11,79.7,Nov 1997
FIN,1997-12,79.5,Dec 1997
FIN,1998-01,79.5,Jan 1998
FIN,1998-02,79.2,Feb 1998
FIN,1998-03,79.1,Mar 1998
FIN,1998-04,79.2,Apr 1998
FIN,1998-05,78.7,May 1998
FIN,1998-06,78.8,Jun 1998
FIN,1998-07,78.3,Jul 1998
FIN,1998-08,78.3,Aug 1998
FIN,1998-09,78.2,Sep 1998
FIN,1998-10,77.7,Oct 1998
FIN,1998-11,77.6,Nov 1998
FIN,1998-12,77.3,Dec 1998
FIN,1999-01,77.4,Jan 1999
FIN,1999-02,77.1,Feb 1999
FIN,1999-03,77.4,Mar 1999
FIN,1999-04,77.3,Apr 1999
FIN,1999-05,77.1,May 1999
FIN,1999-06,77.3,Jun 1999
FIN,1999-07,77.3,Jul 1999
FIN,1999-08,77.2,Aug 1999
FIN,1999-09,77.5,Sep 1999
FIN,1999-10,77.2,Oct 1999
FIN,1999-11,77.9,Nov 1999
FIN,1999-12,78.1,Dec 1999
FIN,2000-01,77.9,Jan 2000
FIN,2000-02,78,Feb 2000
FIN,2000-03,78.3,Mar 2000
FIN,2000-04,78.5,Apr 2000
FIN,2000-05,78.8,May 2000
FIN,2000-06,78.8,Jun 2000
FIN,2000-07,79,Jul 2000
FIN,2000-08,79.1,Aug 2000
FIN,2000-09,79,Sep 2000
FIN,2000-10,79.2,Oct 2000
FIN,2000-11,79.5,Nov 2000
FIN,2000-12,79.6,Dec 2000
FIN,2001-01,79.5,Jan 2001
FIN,2001-02,79.3,Feb 2001
FIN,2001-03,79.4,Mar 2001
FIN,2001-04,79.5,Apr 2001
FIN,2001-05,79.5,May 2001
FIN,2001-06,79.4,Jun 2001
FIN,2001-07,79.4,Jul 2001
FIN,2001-08,79.3,Aug 2001
FIN,2001-09,79.2,Sep 2001
FIN,2001-10,79,Oct 2001
FIN,2001-11,79,Nov 2001
FIN,2001-12,78.8,Dec 2001
FIN,2002-01,78.8,Jan 2002
FIN,2002-02,79.2,Feb 2002
FIN,2002-03,79.3,Mar 2002
FIN,2002-04,79.5,Apr 2002
FIN,2002-05,79.5,May 2002
FIN,2002-06,79.5,Jun 2002
FIN,2002-07,79.3,Jul 2002
