iso,date,Drought
NIC,Aug 2014,1
NIC,Jun 2018,1
NPL,May 1964,1
NPL,Jul 2006,1
NZL,Jan 1994,1
NZL,Jan 2013,1
PAK,Nov 1999,1
PAK,Jan 2019,1
PAN,May 1983,1
PAN,Jan 2013,1
PAN,Aug 2015,1
PAN,Jun 2018,1
PER,Jul 1966,1
PER,May 1969,1
PER,Jan 1983,1
PER,Aug 1990,1
PER,Jul 1992,1
PER,Mar 2002,1
PER,Jan 2004,1
PER,Jan 2006,1
PHL,Feb 1978,1
PHL,Jan 1980,1
PHL,Dec 1990,1
PHL,Apr 1998,1
PHL,Mar 2002,1
PHL,Aug 2007,1
PHL,Aug 2015,1
PHL,Mar 2019,1
PLW,Oct 2015,1
PNG,Oct 1980,1
PNG,Sep 1997,1
PNG,May 2015,1
POL,Jun 2018,1
PRI,Jul 1994,1
PRK,Apr 2012,1
PRK,Jun 2015,1
PRK,Jan 2017,1
PRK,Jan 2019,1
PRT,Apr 1983,1
PRT,Apr 1997,1
PRT,Sep 2004,1
PRT,Jul 2022,1
PRY,Jun 1983,1
PRY,Jun 1999,1
PRY,Oct 2005,1
PRY,Sep 2008,1
PRY,Jan 2009,1
PRY,Jan 2012,1
PRY,Sep 2013,1
PRY,Jul 2016,1
ROU,May 1983,1
ROU,Jun 2000,1
RUS,Jul 1998,1
RUS,Apr 2010,1
RUS,Jun 2012,1
RWA,Oct 1984,1
RWA,Dec 1989,1
RWA,Dec 1996,1
RWA,Nov 1999,1
RWA,Mar 2003,1
SDN,Jun 1980,1
SDN,Apr 1983,1
SDN,Oct 1987,1
SDN,Oct 1991,1
SDN,Dec 1996,1
SDN,Jan 2000,1
SDN,Aug 2015,1
SEN,Jan 1969,1
SEN,Aug 2002,1
SEN,Dec 2011,1
SEN,Sep 2014,1
SEN,Apr 2018,1
SLB,Nov 1997,1
SLB,Aug 1998,1
SLV,Jul 1982,1
SLV,Jul 1994,1
SLV,May 1998,1
SLV,May 2001,1
SLV,Apr 2015,1
SLV,Jun 2018,1
SOM,Dec 1964,1
SOM,Sep 1969,1
SOM,Dec 1974,1
SOM,Jan 1980,1
SOM,Jun 1983,1
SOM,Apr 1987,1
SOM,Jan 2000,1
SOM,Jan 2004,1
SOM,Jan 2008,1
SOM,Feb 2010,1
SOM,Jul 2014,1
SOM,Aug 2015,1
SOM,Feb 2019,1
SOM,Mar 2021,1
SSD,Feb 2016,1
SWZ,Jan 1984,1
SWZ,Nov 1990,1
SWZ,Jul 2007,1
SWZ,Feb 2016,1
SYR,May 1999,1
SYR,Jan 2021,1
TCD,Mar 1966,1
TCD,Oct 1969,1
TCD,Nov 1981,1
TCD,Dec 1993,1
TCD,Jan 2001,1
TCD,Dec 2009,1
TCD,Jun 2012,1
TCD,Mar 2017,1
TCD,Jun 2022,1
TGO,Jan 1971,1
TGO,Feb 1983,1
TGO,Jan 1989,1
THA,Mar 1991,1
THA,Jan 1999,1
THA,Feb 2002,1
THA,Jan 2005,1
THA,Apr 2008,1
THA,Mar 2010,1
THA,Jun 2011,1
THA,Apr 2012,1
THA,Mar 2014,1
THA,Jan 2015,1
THA,Jul 2019,1
TJK,May 2000,1
TJK,Oct 2008,1
TLS,Feb 2007,1
TLS,Apr 2016,1
TON,Aug 2015,1
TTO,Jan 2010,1
TUV,Sep 2011,1
TUV,Jan 2021,1
TZA,May 1967,1
TZA,Aug 2003,1
TZA,Oct 2004,1
TZA,Aug 2011,1
TZA,Nov 2021,1
UGA,Jan 1967,1
UGA,Dec 1987,1
UGA,Jan 1998,1
UGA,Aug 1999,1
UGA,Jun 2002,1
UGA,Mar 2005,1
UGA,Jul 2008,1
UGA,Mar 2011,1
UGA,Jul 2022,1
UKR,Apr 2012,1
URY,Jun 1999,1
URY,Jan 2018,1
URY,Oct 2022,1
USA,Apr 1988,1
USA,Jan 1991,1
USA,Jul 1991,1
USA,Jul 1999,1
USA,Jun 2000,1
USA,Nov 2000,1
USA,Jul 2002,1
USA,Oct 2007,1
USA,Jan 2011,1
USA,Jun 2012,1
USA,Jan 2014,1
USA,Jan 2015,1
USA,Mar 2017,1
USA,Jan 2018,1
USA,Jan 2020,1
USA,Jan 2021,1
USA,Jan 2022,1
UZB,Aug 2000,1
VCT,Jan 2010,1
VEN,Nov 2009,1
VNM,Dec 1997,1
VNM,Jan 1999,1
VNM,May 2002,1
VNM,May 2005,1
VNM,Dec 2015,1
VNM,Jul 2019,1
WSM,Jun 2015,1
YMD,Jan 1975,1
YUG,Jul 1990,1
ZAF,Aug 1980,1
ZAF,Mar 1982,1
ZAF,May 1986,1
ZAF,Oct 1988,1
ZAF,Dec 1995,1
ZAF,Jan 2004,1
ZAF,Jan 2015,1
ZAF,May 2017,1
ZAF,Jan 2019,1
ZAF,Mar 2021,1
ZMB,Jan 1982,1
ZMB,Jan 1983,1
ZMB,Aug 1995,1
ZMB,Jun 2005,1
ZMB,Jul 2021,1
ZWE,Oct 1982,1
ZWE,Apr 1991,1
ZWE,Nov 1998,1
ZWE,Mar 2001,1
ZWE,Jan 2007,1
ZWE,May 2010,1
ZWE,Jan 2013,1
ZWE,Feb 2017,1
ZWE,Aug 2021,1
