location,time,ppi_tot_con,date
GRC,1998-10,72.41978,Oct 1998
GRC,1998-11,71.97269,Nov 1998
GRC,1998-12,71.82366,Dec 1998
GRC,1999-01,71.67464,Jan 1999
GRC,1999-02,72.05159,Feb 1999
GRC,1999-03,72.34966,Mar 1999
GRC,1999-04,72.72661,Apr 1999
GRC,1999-05,72.79675,May 1999
GRC,1999-06,72.87564,Jun 1999
GRC,1999-07,73.24384,Jul 1999
GRC,1999-08,73.24384,Aug 1999
GRC,1999-09,73.1737,Sep 1999
GRC,1999-10,73.0948,Oct 1999
GRC,1999-11,73.0948,Nov 1999
GRC,1999-12,73.24384,Dec 1999
GRC,2000-01,73.2,Jan 2000
GRC,2000-02,73.7,Feb 2000
GRC,2000-03,73.8,Mar 2000
GRC,2000-04,74.2,Apr 2000
GRC,2000-05,74.5,May 2000
GRC,2000-06,74.3,Jun 2000
GRC,2000-07,74.4,Jul 2000
GRC,2000-08,74.6,Aug 2000
GRC,2000-09,75.2,Sep 2000
GRC,2000-10,75.4,Oct 2000
GRC,2000-11,75.8,Nov 2000
GRC,2000-12,76.5,Dec 2000
GRC,2001-01,76.5,Jan 2001
GRC,2001-02,76.9,Feb 2001
GRC,2001-03,77.2,Mar 2001
GRC,2001-04,77.7,Apr 2001
GRC,2001-05,77.9,May 2001
GRC,2001-06,78,Jun 2001
GRC,2001-07,78.1,Jul 2001
GRC,2001-08,78.3,Aug 2001
GRC,2001-09,78.7,Sep 2001
GRC,2001-10,78.9,Oct 2001
GRC,2001-11,79.2,Nov 2001
GRC,2001-12,79.5,Dec 2001
GRC,2002-01,80,Jan 2002
GRC,2002-02,80.1,Feb 2002
GRC,2002-03,80.7,Mar 2002
GRC,2002-04,80.8,Apr 2002
GRC,2002-05,80.9,May 2002
GRC,2002-06,80.5,Jun 2002
GRC,2002-07,80.7,Jul 2002
GRC,2002-08,80.7,Aug 2002
GRC,2002-09,80.9,Sep 2002
GRC,2002-10,81,Oct 2002
GRC,2002-11,81,Nov 2002
GRC,2002-12,81,Dec 2002
GRC,2003-01,81,Jan 2003
GRC,2003-02,81.2,Feb 2003
GRC,2003-03,81.7,Mar 2003
GRC,2003-04,81.7,Apr 2003
GRC,2003-05,81.7,May 2003
GRC,2003-06,81.7,Jun 2003
GRC,2003-07,82.2,Jul 2003
GRC,2003-08,82.5,Aug 2003
GRC,2003-09,83.1,Sep 2003
GRC,2003-10,83.8,Oct 2003
GRC,2003-11,84.3,Nov 2003
GRC,2003-12,84.3,Dec 2003
GRC,2004-01,85.9,Jan 2004
GRC,2004-02,86,Feb 2004
GRC,2004-03,86.4,Mar 2004
GRC,2004-04,87,Apr 2004
GRC,2004-05,86.9,May 2004
GRC,2004-06,86.8,Jun 2004
GRC,2004-07,86.7,Jul 2004
GRC,2004-08,86.6,Aug 2004
GRC,2004-09,86.6,Sep 2004
GRC,2004-10,86.5,Oct 2004
GRC,2004-11,86.3,Nov 2004
GRC,2004-12,85.7,Dec 2004
GRC,2005-01,86,Jan 2005
GRC,2005-02,86.2,Feb 2005
GRC,2005-03,86.4,Mar 2005
GRC,2005-04,86.9,Apr 2005
GRC,2005-05,87.1,May 2005
GRC,2005-06,87.4,Jun 2005
